"ballot_number","name","party","ballot_name"
"1","Binay, Jejomar","United Nationalist Alliance","Binay, Jojo (UNA)"
"2","Defensor-Santiago, Miriam","People's Reform Party","Defensor Santiago, Miriam (PRP)"
"3","Duterte, Rodrigo","PDP-Laban","Duterte, Rody (PDPLBN)"
"4","Poe-Llamanzares, Mary Grace","Independent","Poe, Grace (IND)"
"5","Roxas, Manuel II","Liberal Party","Roxas, Mar Daang Matuwid (LP)"
"6","Señeres, Roy*","Partido ng Manggagawa at Magsasaka","Señeres, Roy (WPPPMM)"
